Economically Active Population ID,Economically Active Population,Population Classification ID,Population Classification,Municipality ID,Municipality,Number of Records
1,Población Económicamente Activa,1,Población Ocupada,1001,Aguascalientes,134054
1,Población Económicamente Activa,1,Población Ocupada,1002,Asientos,6167
1,Población Económicamente Activa,1,Población Ocupada,1003,Calvillo,9393
1,Población Económicamente Activa,1,Población Ocupada,1004,Cosío,3852
1,Población Económicamente Activa,1,Población Ocupada,1005,Jesús María,19668
1,Población Económicamente Activa,1,Población Ocupada,1006,Pabellón de Arteaga,7330
1,Población Económicamente Activa,1,Población Ocupada,1007,Rincón de Romos,12374
1,Población Económicamente Activa,1,Población Ocupada,1008,San José de Gracia,1252
1,Población Económicamente Activa,1,Población Ocupada,1009,Tepezalá,4638
1,Población Económicamente Activa,1,Población Ocupada,1010,El Llano,4240
1,Población Económicamente Activa,1,Población Ocupada,1011,San Francisco de los Romo,7037
1,Población Económicamente Activa,1,Población Ocupada,2001,Ensenada,29266
1,Población Económicamente Activa,1,Población Ocupada,2002,Mexicali,72092
1,Población Económicamente Activa,1,Población Ocupada,2003,Tecate,7251
1,Población Económicamente Activa,1,Población Ocupada,2004,Tijuana,123642
1,Población Económicamente Activa,1,Población Ocupada,2005,Playas de Rosarito,5181
1,Población Económicamente Activa,1,Población Ocupada,3001,Comondú,14656
1,Población Económicamente Activa,1,Población Ocupada,3002,Mulegé,9968
1,Población Económicamente Activa,1,Población Ocupada,3003,La Paz,109890
1,Población Económicamente Activa,1,Población Ocupada,3008,Los Cabos,33019
1,Población Económicamente Activa,1,Población Ocupada,3009,Loreto,3088
1,Población Económicamente Activa,1,Población Ocupada,4001,Calkiní,11447
1,Población Económicamente Activa,1,Población Ocupada,4002,Campeche,118381
1,Población Económicamente Activa,1,Población Ocupada,4003,Carmen,38072
1,Población Económicamente Activa,1,Población Ocupada,4004,Champotón,14555
1,Población Económicamente Activa,1,Población Ocupada,4005,Hecelchakán,5102
1,Población Económicamente Activa,1,Población Ocupada,4006,Hopelchén,5588
1,Población Económicamente Activa,1,Población Ocupada,4007,Palizada,1136
1,Población Económicamente Activa,1,Población Ocupada,4008,Tenabo,2028
1,Población Económicamente Activa,1,Población Ocupada,4009,Escárcega,8813
1,Población Económicamente Activa,1,Población Ocupada,4010,Calakmul,3035
1,Población Económicamente Activa,1,Población Ocupada,4011,Candelaria,7550
1,Población Económicamente Activa,1,Población Ocupada,5001,Abasolo,68
1,Población Económicamente Activa,1,Población Ocupada,5002,Acuña,6355
1,Población Económicamente Activa,1,Población Ocupada,5003,Allende,868
1,Población Económicamente Activa,1,Población Ocupada,5004,Arteaga,1333
1,Población Económicamente Activa,1,Población Ocupada,5005,Candela,363
1,Población Económicamente Activa,1,Población Ocupada,5006,Castaños,1058
1,Población Económicamente Activa,1,Población Ocupada,5007,Cuatro Ciénegas,1307
1,Población Económicamente Activa,1,Población Ocupada,5008,Escobedo,220
1,Población Económicamente Activa,1,Población Ocupada,5009,Francisco I. Madero,3509
1,Población Económicamente Activa,1,Población Ocupada,5010,Frontera,2388
1,Población Económicamente Activa,1,Población Ocupada,5011,General Cepeda,1296
1,Población Económicamente Activa,1,Población Ocupada,5012,Guerrero,109
1,Población Económicamente Activa,1,Población Ocupada,5013,Hidalgo,168
1,Población Económicamente Activa,1,Población Ocupada,5014,Jiménez,540
1,Población Económicamente Activa,1,Población Ocupada,5016,Lamadrid,331
1,Población Económicamente Activa,1,Población Ocupada,5017,Matamoros,8347
1,Población Económicamente Activa,1,Población Ocupada,5018,Monclova,9244
1,Población Económicamente Activa,1,Población Ocupada,5019,Morelos,150
1,Población Económicamente Activa,1,Población Ocupada,5020,Múzquiz,3412
1,Población Económicamente Activa,1,Población Ocupada,5021,Nadadores,375
1,Población Económicamente Activa,1,Población Ocupada,5022,Nava,339
1,Población Económicamente Activa,1,Población Ocupada,5023,Ocampo,661
1,Población Económicamente Activa,1,Población Ocupada,5024,Parras,3282
1,Población Económicamente Activa,1,Población Ocupada,5025,Piedras Negras,5503
1,Población Económicamente Activa,1,Población Ocupada,5026,Progreso,203
1,Población Económicamente Activa,1,Población Ocupada,5027,Ramos Arizpe,10603
1,Población Económicamente Activa,1,Población Ocupada,5028,Sabinas,2669
1,Población Económicamente Activa,1,Población Ocupada,5030,Saltillo,116113
1,Población Económicamente Activa,1,Población Ocupada,5031,San Buenaventura,1200
1,Población Económicamente Activa,1,Población Ocupada,5032,San Juan de Sabinas,2749
1,Población Económicamente Activa,1,Población Ocupada,5033,San Pedro,5477
1,Población Económicamente Activa,1,Población Ocupada,5034,Sierra Mojada,48
1,Población Económicamente Activa,1,Población Ocupada,5035,Torreón,52309
1,Población Económicamente Activa,1,Población Ocupada,5036,Viesca,2520
1,Población Económicamente Activa,1,Población Ocupada,5037,Villa Unión,395
1,Población Económicamente Activa,1,Población Ocupada,5038,Zaragoza,796
1,Población Económicamente Activa,1,Población Ocupada,6001,Armería,8266
1,Población Económicamente Activa,1,Población Ocupada,6002,Colima,67711
1,Población Económicamente Activa,1,Población Ocupada,6003,Comala,6880
1,Población Económicamente Activa,1,Población Ocupada,6004,Coquimatlán,3590
1,Población Económicamente Activa,1,Población Ocupada,6005,Cuauhtémoc,6014
1,Población Económicamente Activa,1,Población Ocupada,6006,Ixtlahuacán,2479
1,Población Económicamente Activa,1,Población Ocupada,6007,Manzanillo,31469
1,Población Económicamente Activa,1,Población Ocupada,6008,Minatitlán,2140
1,Población Económicamente Activa,1,Población Ocupada,6009,Tecomán,22462
1,Población Económicamente Activa,1,Población Ocupada,6010,Villa de Álvarez,60590
1,Población Económicamente Activa,1,Población Ocupada,7001,Acacoyagua,588
1,Población Económicamente Activa,1,Población Ocupada,7002,Acala,1092
1,Población Económicamente Activa,1,Población Ocupada,7003,Acapetahua,167
1,Población Económicamente Activa,1,Población Ocupada,7006,Amatenango de la Frontera,1222
1,Población Económicamente Activa,1,Población Ocupada,7009,Arriaga,765
1,Población Económicamente Activa,1,Población Ocupada,7011,Bella Vista,219
1,Población Económicamente Activa,1,Población Ocupada,7012,Berriozábal,1375
1,Población Económicamente Activa,1,Población Ocupada,7013,Bochil,826
1,Población Económicamente Activa,1,Población Ocupada,7014,El Bosque,744
1,Población Económicamente Activa,1,Población Ocupada,7015,Cacahoatán,985
1,Población Económicamente Activa,1,Población Ocupada,7017,Cintalapa,2199
1,Población Económicamente Activa,1,Población Ocupada,7018,Coapilla,325
1,Población Económicamente Activa,1,Población Ocupada,7019,Comitán de Domínguez,5138
1,Población Económicamente Activa,1,Población Ocupada,7020,La Concordia,1347
1,Población Económicamente Activa,1,Población Ocupada,7021,Copainalá,1415
1,Población Económicamente Activa,1,Población Ocupada,7022,Chalchihuitán,126
1,Población Económicamente Activa,1,Población Ocupada,7023,Chamula,1059
1,Población Económicamente Activa,1,Población Ocupada,7025,Chapultenango,317
1,Población Económicamente Activa,1,Población Ocupada,7026,Chenalhó,762
1,Población Económicamente Activa,1,Población Ocupada,7027,Chiapa de Corzo,6288
1,Población Económicamente Activa,1,Población Ocupada,7029,Chicoasén,358
1,Población Económicamente Activa,1,Población Ocupada,7030,Chicomuselo,2088
1,Población Económicamente Activa,1,Población Ocupada,7031,Chilón,944
1,Población Económicamente Activa,1,Población Ocupada,7032,Escuintla,500
1,Población Económicamente Activa,1,Población Ocupada,7034,Frontera Comalapa,1161
1,Población Económicamente Activa,1,Población Ocupada,7035,Frontera Hidalgo,184
1,Población Económicamente Activa,1,Población Ocupada,7036,La Grandeza,113
1,Población Económicamente Activa,1,Población Ocupada,7037,Huehuetán,1682
1,Población Económicamente Activa,1,Población Ocupada,7040,Huixtla,2266
1,Población Económicamente Activa,1,Población Ocupada,7041,La Independencia,1236
1,Población Económicamente Activa,1,Población Ocupada,7042,Ixhuatán,231
1,Población Económicamente Activa,1,Población Ocupada,7044,Ixtapa,33
1,Población Económicamente Activa,1,Población Ocupada,7045,Ixtapangajoya,255
1,Población Económicamente Activa,1,Población Ocupada,7046,Jiquipilas,2238
1,Población Económicamente Activa,1,Población Ocupada,7047,Jitotol,1310
1,Población Económicamente Activa,1,Población Ocupada,7048,Juárez,615
1,Población Económicamente Activa,1,Población Ocupada,7051,Mapastepec,327
1,Población Económicamente Activa,1,Población Ocupada,7052,Las Margaritas,2487
1,Población Económicamente Activa,1,Población Ocupada,7053,Mazapa de Madero,270
1,Población Económicamente Activa,1,Población Ocupada,7054,Mazatán,333
1,Población Económicamente Activa,1,Población Ocupada,7055,Metapa,58
1,Población Económicamente Activa,1,Población Ocupada,7056,Mitontic,322
1,Población Económicamente Activa,1,Población Ocupada,7057,Motozintla,1106
1,Población Económicamente Activa,1,Población Ocupada,7059,Ocosingo,3444
1,Población Económicamente Activa,1,Población Ocupada,7061,Ocozocoautla de Espinosa,2008
1,Población Económicamente Activa,1,Población Ocupada,7062,Ostuacán,123
1,Población Económicamente Activa,1,Población Ocupada,7063,Osumacinta,459
1,Población Económicamente Activa,1,Población Ocupada,7064,Oxchuc,330
1,Población Económicamente Activa,1,Población Ocupada,7065,Palenque,3149
1,Población Económicamente Activa,1,Población Ocupada,7066,Pantelhó,121
1,Población Económicamente Activa,1,Población Ocupada,7067,Pantepec,360
1,Población Económicamente Activa,1,Población Ocupada,7068,Pichucalco,2014
1,Población Económicamente Activa,1,Población Ocupada,7069,Pijijiapan,797
1,Población Económicamente Activa,1,Población Ocupada,7070,El Porvenir,435
1,Población Económicamente Activa,1,Población Ocupada,7071,Villa Comaltitlán,596
1,Población Económicamente Activa,1,Población Ocupada,7072,Pueblo Nuevo Solistahuacán,360
1,Población Económicamente Activa,1,Población Ocupada,7073,Rayón,390
1,Población Económicamente Activa,1,Población Ocupada,7074,Reforma,858
1,Población Económicamente Activa,1,Población Ocupada,7075,Las Rosas,1812
1,Población Económicamente Activa,1,Población Ocupada,7076,Sabanilla,518
1,Población Económicamente Activa,1,Población Ocupada,7077,Salto de Agua,965
1,Población Económicamente Activa,1,Población Ocupada,7078,San Cristóbal de las Casas,9633
1,Población Económicamente Activa,1,Población Ocupada,7079,San Fernando,906
1,Población Económicamente Activa,1,Población Ocupada,7080,Siltepec,451
1,Población Económicamente Activa,1,Población Ocupada,7081,Simojovel,548
1,Población Económicamente Activa,1,Población Ocupada,7082,Sitalá,344
1,Población Económicamente Activa,1,Población Ocupada,7083,Socoltenango,775
1,Población Económicamente Activa,1,Población Ocupada,7084,Solosuchiapa,76
1,Población Económicamente Activa,1,Población Ocupada,7085,Soyaló,1196
1,Población Económicamente Activa,1,Población Ocupada,7086,Suchiapa,1377
1,Población Económicamente Activa,1,Población Ocupada,7087,Suchiate,1213
1,Población Económicamente Activa,1,Población Ocupada,7089,Tapachula,23196
1,Población Económicamente Activa,1,Población Ocupada,7091,Tapilula,136
1,Población Económicamente Activa,1,Población Ocupada,7092,Tecpatán,761
1,Población Económicamente Activa,1,Población Ocupada,7093,Tenejapa,334
1,Población Económicamente Activa,1,Población Ocupada,7094,Teopisca,1297
1,Población Económicamente Activa,1,Población Ocupada,7096,Tila,1340
1,Población Económicamente Activa,1,Población Ocupada,7097,Tonalá,3429
1,Población Económicamente Activa,1,Población Ocupada,7098,Totolapa,245
1,Población Económicamente Activa,1,Población Ocupada,7099,La Trinitaria,2305
1,Población Económicamente Activa,1,Población Ocupada,7100,Tumbalá,522
1,Población Económicamente Activa,1,Población Ocupada,7101,Tuxtla Gutiérrez,120322
1,Población Económicamente Activa,1,Población Ocupada,7102,Tuxtla Chico,1969
1,Población Económicamente Activa,1,Población Ocupada,7103,Tuzantán,655
1,Población Económicamente Activa,1,Población Ocupada,7105,Unión Juárez,946
1,Población Económicamente Activa,1,Población Ocupada,7106,Venustiano Carranza,3023
1,Población Económicamente Activa,1,Población Ocupada,7107,Villa Corzo,1620
1,Población Económicamente Activa,1,Población Ocupada,7108,Villaflores,3128
1,Población Económicamente Activa,1,Población Ocupada,7109,Yajalón,148
1,Población Económicamente Activa,1,Población Ocupada,7111,Zinacantán,2344
1,Población Económicamente Activa,1,Población Ocupada,7112,San Juan Cancuc,619
1,Población Económicamente Activa,1,Población Ocupada,7113,Aldama,83
1,Población Económicamente Activa,1,Población Ocupada,7114,Benemérito de las Américas,962
1,Población Económicamente Activa,1,Población Ocupada,7115,Maravilla Tenejapa,450
1,Población Económicamente Activa,1,Población Ocupada,7116,Marqués de Comillas,249
1,Población Económicamente Activa,1,Población Ocupada,7117,Montecristo de Guerrero,102
1,Población Económicamente Activa,1,Población Ocupada,7119,Santiago el Pinar,206
1,Población Económicamente Activa,1,Población Ocupada,8001,Ahumada,1227
1,Población Económicamente Activa,1,Población Ocupada,8002,Aldama,945
1,Población Económicamente Activa,1,Población Ocupada,8003,Allende,566
1,Población Económicamente Activa,1,Población Ocupada,8004,Aquiles Serdán,424
1,Población Económicamente Activa,1,Población Ocupada,8005,Ascensión,437
1,Población Económicamente Activa,1,Población Ocupada,8006,Bachíniva,393
1,Población Económicamente Activa,1,Población Ocupada,8007,Balleza,1095
1,Población Económicamente Activa,1,Población Ocupada,8008,Batopilas de Manuel Gómez Morín,89
1,Población Económicamente Activa,1,Población Ocupada,8009,Bocoyna,1914
1,Población Económicamente Activa,1,Población Ocupada,8010,Buenaventura,767
1,Población Económicamente Activa,1,Población Ocupada,8011,Camargo,2040
1,Población Económicamente Activa,1,Población Ocupada,8012,Carichí,178
1,Población Económicamente Activa,1,Población Ocupada,8013,Casas Grandes,110
1,Población Económicamente Activa,1,Población Ocupada,8014,Coronado,221
1,Población Económicamente Activa,1,Población Ocupada,8015,Coyame del Sotol,86
1,Población Económicamente Activa,1,Población Ocupada,8017,Cuauhtémoc,5062
1,Población Económicamente Activa,1,Población Ocupada,8018,Cusihuiriachi,225
1,Población Económicamente Activa,1,Población Ocupada,8019,Chihuahua,114691
1,Población Económicamente Activa,1,Población Ocupada,8020,Chínipas,44
1,Población Económicamente Activa,1,Población Ocupada,8021,Delicias,4257
1,Población Económicamente Activa,1,Población Ocupada,8022,Dr. Belisario Domínguez,255
1,Población Económicamente Activa,1,Población Ocupada,8024,Santa Isabel,102
1,Población Económicamente Activa,1,Población Ocupada,8025,Gómez Farías,430
1,Población Económicamente Activa,1,Población Ocupada,8027,Guachochi,1481
1,Población Económicamente Activa,1,Población Ocupada,8029,Guadalupe y Calvo,1212
1,Población Económicamente Activa,1,Población Ocupada,8030,Guazapares,550
1,Población Económicamente Activa,1,Población Ocupada,8031,Guerrero,1292
1,Población Económicamente Activa,1,Población Ocupada,8032,Hidalgo del Parral,2180
1,Población Económicamente Activa,1,Población Ocupada,8033,Huejotitán,105
1,Población Económicamente Activa,1,Población Ocupada,8035,Janos,1239
1,Población Económicamente Activa,1,Población Ocupada,8036,Jiménez,1328
1,Población Económicamente Activa,1,Población Ocupada,8037,Juárez,50722
1,Población Económicamente Activa,1,Población Ocupada,8038,Julimes,162
1,Población Económicamente Activa,1,Población Ocupada,8039,López,131
1,Población Económicamente Activa,1,Población Ocupada,8040,Madera,1975
1,Población Económicamente Activa,1,Población Ocupada,8041,Maguarichi,98
1,Población Económicamente Activa,1,Población Ocupada,8042,Manuel Benavides,84
1,Población Económicamente Activa,1,Población Ocupada,8043,Matachí,689
1,Población Económicamente Activa,1,Población Ocupada,8045,Meoqui,1426
1,Población Económicamente Activa,1,Población Ocupada,8047,Moris,27
1,Población Económicamente Activa,1,Población Ocupada,8048,Namiquipa,1137
1,Población Económicamente Activa,1,Población Ocupada,8050,Nuevo Casas Grandes,3938
1,Población Económicamente Activa,1,Población Ocupada,8051,Ocampo,430
1,Población Económicamente Activa,1,Población Ocupada,8052,Ojinaga,887
