Economically Active Population ID,Economically Active Population,Population Classification ID,Population Classification,Municipality ID,Municipality,Number of Records
1,Población Económicamente Activa,1,Población Ocupada,1001,Aguascalientes,2907
1,Población Económicamente Activa,1,Población Ocupada,1002,Asientos,118
1,Población Económicamente Activa,1,Población Ocupada,1003,Calvillo,134
1,Población Económicamente Activa,1,Población Ocupada,1004,Cosío,52
1,Población Económicamente Activa,1,Población Ocupada,1005,Jesús María,464
1,Población Económicamente Activa,1,Población Ocupada,1006,Pabellón de Arteaga,188
1,Población Económicamente Activa,1,Población Ocupada,1007,Rincón de Romos,304
1,Población Económicamente Activa,1,Población Ocupada,1009,Tepezalá,120
1,Población Económicamente Activa,1,Población Ocupada,1010,El Llano,31
1,Población Económicamente Activa,1,Población Ocupada,1011,San Francisco de los Romo,147
1,Población Económicamente Activa,1,Población Ocupada,2001,Ensenada,416
1,Población Económicamente Activa,1,Población Ocupada,2002,Mexicali,1963
1,Población Económicamente Activa,1,Población Ocupada,2003,Tecate,148
1,Población Económicamente Activa,1,Población Ocupada,2004,Tijuana,2238
1,Población Económicamente Activa,1,Población Ocupada,2005,Playas de Rosarito,78
1,Población Económicamente Activa,1,Población Ocupada,3001,Comondú,140
1,Población Económicamente Activa,1,Población Ocupada,3002,Mulegé,248
1,Población Económicamente Activa,1,Población Ocupada,3003,La Paz,2633
1,Población Económicamente Activa,1,Población Ocupada,3008,Los Cabos,1012
1,Población Económicamente Activa,1,Población Ocupada,3009,Loreto,72
1,Población Económicamente Activa,1,Población Ocupada,4001,Calkiní,169
1,Población Económicamente Activa,1,Población Ocupada,4002,Campeche,2464
1,Población Económicamente Activa,1,Población Ocupada,4003,Carmen,2304
1,Población Económicamente Activa,1,Población Ocupada,4004,Champotón,312
1,Población Económicamente Activa,1,Población Ocupada,4005,Hecelchakán,61
1,Población Económicamente Activa,1,Población Ocupada,4006,Hopelchén,81
1,Población Económicamente Activa,1,Población Ocupada,4007,Palizada,28
1,Población Económicamente Activa,1,Población Ocupada,4009,Escárcega,184
1,Población Económicamente Activa,1,Población Ocupada,4010,Calakmul,54
1,Población Económicamente Activa,1,Población Ocupada,4011,Candelaria,122
1,Población Económicamente Activa,1,Población Ocupada,5002,Acuña,105
1,Población Económicamente Activa,1,Población Ocupada,5004,Arteaga,67
1,Población Económicamente Activa,1,Población Ocupada,5006,Castaños,35
1,Población Económicamente Activa,1,Población Ocupada,5007,Cuatro Ciénegas,22
1,Población Económicamente Activa,1,Población Ocupada,5009,Francisco I. Madero,55
1,Población Económicamente Activa,1,Población Ocupada,5010,Frontera,56
1,Población Económicamente Activa,1,Población Ocupada,5011,General Cepeda,18
1,Población Económicamente Activa,1,Población Ocupada,5017,Matamoros,225
1,Población Económicamente Activa,1,Población Ocupada,5018,Monclova,148
1,Población Económicamente Activa,1,Población Ocupada,5020,Múzquiz,124
1,Población Económicamente Activa,1,Población Ocupada,5023,Ocampo,24
1,Población Económicamente Activa,1,Población Ocupada,5024,Parras,47
1,Población Económicamente Activa,1,Población Ocupada,5025,Piedras Negras,97
1,Población Económicamente Activa,1,Población Ocupada,5027,Ramos Arizpe,243
1,Población Económicamente Activa,1,Población Ocupada,5028,Sabinas,62
1,Población Económicamente Activa,1,Población Ocupada,5030,Saltillo,2285
1,Población Económicamente Activa,1,Población Ocupada,5031,San Buenaventura,41
1,Población Económicamente Activa,1,Población Ocupada,5033,San Pedro,103
1,Población Económicamente Activa,1,Población Ocupada,5035,Torreón,1725
1,Población Económicamente Activa,1,Población Ocupada,5036,Viesca,75
1,Población Económicamente Activa,1,Población Ocupada,6001,Armería,182
1,Población Económicamente Activa,1,Población Ocupada,6002,Colima,1622
1,Población Económicamente Activa,1,Población Ocupada,6003,Comala,105
1,Población Económicamente Activa,1,Población Ocupada,6004,Coquimatlán,69
1,Población Económicamente Activa,1,Población Ocupada,6005,Cuauhtémoc,248
1,Población Económicamente Activa,1,Población Ocupada,6007,Manzanillo,651
1,Población Económicamente Activa,1,Población Ocupada,6008,Minatitlán,110
1,Población Económicamente Activa,1,Población Ocupada,6009,Tecomán,563
1,Población Económicamente Activa,1,Población Ocupada,6010,Villa de Álvarez,1349
