Economically Active Population ID,Economically Active Population,Population Classification ID,Population Classification,Municipality ID,Municipality,Number of Records
1,Población Económicamente Activa,1,Población Ocupada,1001,Aguascalientes,8233
1,Población Económicamente Activa,1,Población Ocupada,1002,Asientos,352
1,Población Económicamente Activa,1,Población Ocupada,1003,Calvillo,398
1,Población Económicamente Activa,1,Población Ocupada,1004,Cosío,94
1,Población Económicamente Activa,1,Población Ocupada,1005,Jesús María,1291
1,Población Económicamente Activa,1,Población Ocupada,1006,Pabellón de Arteaga,611
1,Población Económicamente Activa,1,Población Ocupada,1007,Rincón de Romos,796
1,Población Económicamente Activa,1,Población Ocupada,1008,San José de Gracia,34
1,Población Económicamente Activa,1,Población Ocupada,1009,Tepezalá,330
1,Población Económicamente Activa,1,Población Ocupada,1010,El Llano,90
1,Población Económicamente Activa,1,Población Ocupada,1011,San Francisco de los Romo,524
1,Población Económicamente Activa,1,Población Ocupada,2001,Ensenada,1429
1,Población Económicamente Activa,1,Población Ocupada,2002,Mexicali,6373
1,Población Económicamente Activa,1,Población Ocupada,2003,Tecate,364
1,Población Económicamente Activa,1,Población Ocupada,2004,Tijuana,6907
1,Población Económicamente Activa,1,Población Ocupada,2005,Playas de Rosarito,363
1,Población Económicamente Activa,1,Población Ocupada,3001,Comondú,497
1,Población Económicamente Activa,1,Población Ocupada,3002,Mulegé,633
1,Población Económicamente Activa,1,Población Ocupada,3003,La Paz,7715
1,Población Económicamente Activa,1,Población Ocupada,3008,Los Cabos,3042
1,Población Económicamente Activa,1,Población Ocupada,3009,Loreto,127
1,Población Económicamente Activa,1,Población Ocupada,4001,Calkiní,562
1,Población Económicamente Activa,1,Población Ocupada,4002,Campeche,6971
1,Población Económicamente Activa,1,Población Ocupada,4003,Carmen,7010
1,Población Económicamente Activa,1,Población Ocupada,4004,Champotón,908
1,Población Económicamente Activa,1,Población Ocupada,4005,Hecelchakán,121
1,Población Económicamente Activa,1,Población Ocupada,4006,Hopelchén,383
1,Población Económicamente Activa,1,Población Ocupada,4007,Palizada,55
1,Población Económicamente Activa,1,Población Ocupada,4009,Escárcega,554
1,Población Económicamente Activa,1,Población Ocupada,4010,Calakmul,89
1,Población Económicamente Activa,1,Población Ocupada,4011,Candelaria,272
1,Población Económicamente Activa,1,Población Ocupada,5002,Acuña,352
1,Población Económicamente Activa,1,Población Ocupada,5004,Arteaga,169
1,Población Económicamente Activa,1,Población Ocupada,5006,Castaños,35
1,Población Económicamente Activa,1,Población Ocupada,5007,Cuatro Ciénegas,73
1,Población Económicamente Activa,1,Población Ocupada,5009,Francisco I. Madero,137
1,Población Económicamente Activa,1,Población Ocupada,5010,Frontera,202
1,Población Económicamente Activa,1,Población Ocupada,5011,General Cepeda,64
1,Población Económicamente Activa,1,Población Ocupada,5017,Matamoros,843
1,Población Económicamente Activa,1,Población Ocupada,5018,Monclova,489
1,Población Económicamente Activa,1,Población Ocupada,5020,Múzquiz,432
1,Población Económicamente Activa,1,Población Ocupada,5022,Nava,49
1,Población Económicamente Activa,1,Población Ocupada,5023,Ocampo,24
1,Población Económicamente Activa,1,Población Ocupada,5024,Parras,193
1,Población Económicamente Activa,1,Población Ocupada,5025,Piedras Negras,338
1,Población Económicamente Activa,1,Población Ocupada,5027,Ramos Arizpe,681
1,Población Económicamente Activa,1,Población Ocupada,5028,Sabinas,155
1,Población Económicamente Activa,1,Población Ocupada,5030,Saltillo,6793
1,Población Económicamente Activa,1,Población Ocupada,5031,San Buenaventura,156
1,Población Económicamente Activa,1,Población Ocupada,5033,San Pedro,290
1,Población Económicamente Activa,1,Población Ocupada,5035,Torreón,5755
1,Población Económicamente Activa,1,Población Ocupada,5036,Viesca,243
1,Población Económicamente Activa,1,Población Ocupada,6001,Armería,570
1,Población Económicamente Activa,1,Población Ocupada,6002,Colima,4781
1,Población Económicamente Activa,1,Población Ocupada,6003,Comala,389
1,Población Económicamente Activa,1,Población Ocupada,6004,Coquimatlán,233
1,Población Económicamente Activa,1,Población Ocupada,6005,Cuauhtémoc,548
1,Población Económicamente Activa,1,Población Ocupada,6007,Manzanillo,1985
1,Población Económicamente Activa,1,Población Ocupada,6008,Minatitlán,261
1,Población Económicamente Activa,1,Población Ocupada,6009,Tecomán,1741
1,Población Económicamente Activa,1,Población Ocupada,6010,Villa de Álvarez,3853
1,Población Económicamente Activa,1,Población Ocupada,7002,Acala,59
1,Población Económicamente Activa,1,Población Ocupada,7003,Acapetahua,84
1,Población Económicamente Activa,1,Población Ocupada,7006,Amatenango de la Frontera,139
1,Población Económicamente Activa,1,Población Ocupada,7009,Arriaga,68
1,Población Económicamente Activa,1,Población Ocupada,7012,Berriozábal,78
1,Población Económicamente Activa,1,Población Ocupada,7015,Cacahoatán,32
1,Población Económicamente Activa,1,Población Ocupada,7017,Cintalapa,173
1,Población Económicamente Activa,1,Población Ocupada,7018,Coapilla,30
1,Población Económicamente Activa,1,Población Ocupada,7019,Comitán de Domínguez,288
1,Población Económicamente Activa,1,Población Ocupada,7020,La Concordia,108
1,Población Económicamente Activa,1,Población Ocupada,7027,Chiapa de Corzo,633
1,Población Económicamente Activa,1,Población Ocupada,7031,Chilón,122
1,Población Económicamente Activa,1,Población Ocupada,7034,Frontera Comalapa,107
1,Población Económicamente Activa,1,Población Ocupada,7036,La Grandeza,57
1,Población Económicamente Activa,1,Población Ocupada,7037,Huehuetán,184
1,Población Económicamente Activa,1,Población Ocupada,7040,Huixtla,290
1,Población Económicamente Activa,1,Población Ocupada,7041,La Independencia,108
1,Población Económicamente Activa,1,Población Ocupada,7045,Ixtapangajoya,75
1,Población Económicamente Activa,1,Población Ocupada,7048,Juárez,39
1,Población Económicamente Activa,1,Población Ocupada,7051,Mapastepec,81
1,Población Económicamente Activa,1,Población Ocupada,7052,Las Margaritas,253
1,Población Económicamente Activa,1,Población Ocupada,7054,Mazatán,32
1,Población Económicamente Activa,1,Población Ocupada,7055,Metapa,58
1,Población Económicamente Activa,1,Población Ocupada,7056,Mitontic,67
1,Población Económicamente Activa,1,Población Ocupada,7057,Motozintla,69
1,Población Económicamente Activa,1,Población Ocupada,7059,Ocosingo,176
1,Población Económicamente Activa,1,Población Ocupada,7061,Ocozocoautla de Espinosa,91
1,Población Económicamente Activa,1,Población Ocupada,7063,Osumacinta,90
1,Población Económicamente Activa,1,Población Ocupada,7065,Palenque,300
1,Población Económicamente Activa,1,Población Ocupada,7068,Pichucalco,170
1,Población Económicamente Activa,1,Población Ocupada,7069,Pijijiapan,46
1,Población Económicamente Activa,1,Población Ocupada,7070,El Porvenir,35
1,Población Económicamente Activa,1,Población Ocupada,7071,Villa Comaltitlán,38
1,Población Económicamente Activa,1,Población Ocupada,7072,Pueblo Nuevo Solistahuacán,64
1,Población Económicamente Activa,1,Población Ocupada,7076,Sabanilla,66
1,Población Económicamente Activa,1,Población Ocupada,7077,Salto de Agua,60
1,Población Económicamente Activa,1,Población Ocupada,7078,San Cristóbal de las Casas,649
