Salary Group ID,Salary Group,Number of Inhabitants,Municipality ID,Municipality,Households
1,< $2k,1,1001,Aguascalientes,29726
1,< $2k,1,1002,Asientos,1697
1,< $2k,1,1003,Calvillo,1239
1,< $2k,1,1004,Cosío,794
1,< $2k,1,1005,Jesús María,2024
1,< $2k,1,1006,Pabellón de Arteaga,411
1,< $2k,1,1007,Rincón de Romos,2013
1,< $2k,1,1008,San José de Gracia,223
1,< $2k,1,1009,Tepezalá,841
1,< $2k,1,1010,El Llano,593
1,< $2k,1,1011,San Francisco de los Romo,1047
1,< $2k,1,2001,Ensenada,21343
1,< $2k,1,2002,Mexicali,40456
1,< $2k,1,2003,Tecate,2892
1,< $2k,1,2004,Tijuana,53842
1,< $2k,1,2005,Playas de Rosarito,1543
1,< $2k,1,3001,Comondú,3622
1,< $2k,1,3002,Mulegé,3231
1,< $2k,1,3003,La Paz,12973
1,< $2k,1,3008,Los Cabos,8179
1,< $2k,1,3009,Loreto,1060
1,< $2k,1,4001,Calkiní,375
1,< $2k,1,4002,Campeche,8626
1,< $2k,1,4003,Carmen,6063
1,< $2k,1,4004,Champotón,3236
1,< $2k,1,4005,Hecelchakán,901
1,< $2k,1,4006,Hopelchén,248
1,< $2k,1,4007,Palizada,660
1,< $2k,1,4008,Tenabo,536
1,< $2k,1,4009,Escárcega,4545
1,< $2k,1,4010,Calakmul,1933
1,< $2k,1,4011,Candelaria,3637
1,< $2k,1,5002,Acuña,4428
1,< $2k,1,5003,Allende,1354
1,< $2k,1,5004,Arteaga,677
1,< $2k,1,5006,Castaños,484
1,< $2k,1,5007,Cuatro Ciénegas,582
1,< $2k,1,5009,Francisco I. Madero,2854
1,< $2k,1,5010,Frontera,2121
1,< $2k,1,5011,General Cepeda,306
1,< $2k,1,5012,Guerrero,186
1,< $2k,1,5014,Jiménez,272
1,< $2k,1,5017,Matamoros,5752
1,< $2k,1,5018,Monclova,8654
1,< $2k,1,5019,Morelos,248
1,< $2k,1,5020,Múzquiz,1351
1,< $2k,1,5021,Nadadores,977
1,< $2k,1,5022,Nava,1189
1,< $2k,1,5023,Ocampo,114
1,< $2k,1,5024,Parras,1010
1,< $2k,1,5025,Piedras Negras,8515
1,< $2k,1,5026,Progreso,228
1,< $2k,1,5027,Ramos Arizpe,2962
1,< $2k,1,5028,Sabinas,2154
1,< $2k,1,5030,Saltillo,23386
1,< $2k,1,5031,San Buenaventura,587
1,< $2k,1,5032,San Juan de Sabinas,1208
1,< $2k,1,5033,San Pedro,3188
1,< $2k,1,5035,Torreón,28141
1,< $2k,1,5036,Viesca,630
1,< $2k,1,5037,Villa Unión,816
1,< $2k,1,5038,Zaragoza,1229
1,< $2k,1,6001,Armería,1327
1,< $2k,1,6002,Colima,8425
1,< $2k,1,6003,Comala,670
1,< $2k,1,6004,Coquimatlán,680
1,< $2k,1,6005,Cuauhtémoc,1935
1,< $2k,1,6006,Ixtlahuacán,514
1,< $2k,1,6007,Manzanillo,8003
1,< $2k,1,6008,Minatitlán,497
1,< $2k,1,6009,Tecomán,4748
1,< $2k,1,6010,Villa de Álvarez,7849
1,< $2k,1,7002,Acala,3438
1,< $2k,1,7003,Acapetahua,1965
1,< $2k,1,7004,Altamirano,2344
1,< $2k,1,7006,Amatenango de la Frontera,1482
1,< $2k,1,7009,Arriaga,4616
1,< $2k,1,7013,Bochil,4181
1,< $2k,1,7015,Cacahoatán,1460
1,< $2k,1,7017,Cintalapa,5881
1,< $2k,1,7019,Comitán de Domínguez,6190
1,< $2k,1,7021,Copainalá,667
1,< $2k,1,7023,Chamula,3544
1,< $2k,1,7024,Chanal,567
1,< $2k,1,7029,Chicoasén,722
1,< $2k,1,7030,Chicomuselo,895
1,< $2k,1,7034,Frontera Comalapa,2178
1,< $2k,1,7035,Frontera Hidalgo,799
1,< $2k,1,7037,Huehuetán,2012
1,< $2k,1,7039,Huitiupán,743
1,< $2k,1,7041,La Independencia,572
1,< $2k,1,7046,Jiquipilas,676
1,< $2k,1,7051,Mapastepec,1386
1,< $2k,1,7052,Las Margaritas,1791
1,< $2k,1,7053,Mazapa de Madero,1282
1,< $2k,1,7055,Metapa,663
1,< $2k,1,7059,Ocosingo,1652
1,< $2k,1,7061,Ocozocoautla de Espinosa,1523
1,< $2k,1,7065,Palenque,747
1,< $2k,1,7066,Pantelhó,1106
1,< $2k,1,7068,Pichucalco,3156
1,< $2k,1,7069,Pijijiapan,1953
1,< $2k,1,7071,Villa Comaltitlán,1544
1,< $2k,1,7074,Reforma,727
1,< $2k,1,7075,Las Rosas,1703
1,< $2k,1,7078,San Cristóbal de las Casas,3831
1,< $2k,1,7079,San Fernando,3525
1,< $2k,1,7083,Socoltenango,4136
1,< $2k,1,7084,Solosuchiapa,1490
1,< $2k,1,7086,Suchiapa,1530
1,< $2k,1,7089,Tapachula,8197
1,< $2k,1,7093,Tenejapa,656
1,< $2k,1,7096,Tila,1368
1,< $2k,1,7097,Tonalá,4310
1,< $2k,1,7099,La Trinitaria,3073
1,< $2k,1,7101,Tuxtla Gutiérrez,17736
1,< $2k,1,7102,Tuxtla Chico,1383
1,< $2k,1,7106,Venustiano Carranza,3550
1,< $2k,1,7107,Villa Corzo,5630
1,< $2k,1,7108,Villaflores,7717
1,< $2k,1,7111,Zinacantán,2598
1,< $2k,1,7112,San Juan Cancuc,701
1,< $2k,1,7113,Aldama,1638
1,< $2k,1,8001,Ahumada,500
1,< $2k,1,8002,Aldama,560
1,< $2k,1,8004,Aquiles Serdán,1251
1,< $2k,1,8006,Bachíniva,1975
1,< $2k,1,8007,Balleza,1363
1,< $2k,1,8008,Batopilas de Manuel Gómez Morín,721
1,< $2k,1,8009,Bocoyna,3196
1,< $2k,1,8010,Buenaventura,847
1,< $2k,1,8011,Camargo,2397
1,< $2k,1,8012,Carichí,3055
1,< $2k,1,8016,La Cruz,698
1,< $2k,1,8017,Cuauhtémoc,9789
1,< $2k,1,8018,Cusihuiriachi,806
1,< $2k,1,8019,Chihuahua,42904
1,< $2k,1,8020,Chínipas,1093
1,< $2k,1,8021,Delicias,9023
1,< $2k,1,8025,Gómez Farías,312
1,< $2k,1,8027,Guachochi,890
1,< $2k,1,8028,Guadalupe,463
1,< $2k,1,8029,Guadalupe y Calvo,107
1,< $2k,1,8030,Guazapares,770
1,< $2k,1,8031,Guerrero,5670
1,< $2k,1,8032,Hidalgo del Parral,4784
1,< $2k,1,8034,Ignacio Zaragoza,376
1,< $2k,1,8035,Janos,913
1,< $2k,1,8036,Jiménez,1255
1,< $2k,1,8037,Juárez,35066
1,< $2k,1,8038,Julimes,911
1,< $2k,1,8040,Madera,2214
1,< $2k,1,8041,Maguarichi,877
1,< $2k,1,8043,Matachí,1444
1,< $2k,1,8045,Meoqui,1979
1,< $2k,1,8047,Moris,1507
1,< $2k,1,8048,Namiquipa,4854
1,< $2k,1,8050,Nuevo Casas Grandes,4441
1,< $2k,1,8051,Ocampo,504
1,< $2k,1,8052,Ojinaga,6928
1,< $2k,1,8053,Praxedis G. Guerrero,1256
1,< $2k,1,8054,Riva Palacio,126
1,< $2k,1,8055,Rosales,873
1,< $2k,1,8056,Rosario,456
1,< $2k,1,8060,Santa Bárbara,201
1,< $2k,1,8062,Saucillo,2358
1,< $2k,1,8063,Temósachic,320
1,< $2k,1,8064,El Tule,400
1,< $2k,1,8065,Urique,274
1,< $2k,1,8067,Valle de Zaragoza,291
1,< $2k,1,9002,Azcapotzalco,18379
1,< $2k,1,9003,Coyoacán,39841
1,< $2k,1,9004,Cuajimalpa de Morelos,2764
1,< $2k,1,9005,Gustavo A. Madero,36736
1,< $2k,1,9006,Iztacalco,16911
1,< $2k,1,9007,Iztapalapa,64683
1,< $2k,1,9008,La Magdalena Contreras,6612
1,< $2k,1,9009,Milpa Alta,1435
1,< $2k,1,9010,Álvaro Obregón,21241
1,< $2k,1,9011,Tláhuac,14357
1,< $2k,1,9012,Tlalpan,32508
1,< $2k,1,9013,Xochimilco,20593
1,< $2k,1,9014,Benito Juárez,58021
1,< $2k,1,9015,Cuauhtémoc,48390
1,< $2k,1,9016,Miguel Hidalgo,33110
1,< $2k,1,9017,Venustiano Carranza,20623
1,< $2k,1,10001,Canatlán,3780
1,< $2k,1,10004,Cuencamé,2607
1,< $2k,1,10005,Durango,27153
1,< $2k,1,10006,General Simón Bolívar,1193
1,< $2k,1,10007,Gómez Palacio,16426
1,< $2k,1,10008,Guadalupe Victoria,1269
1,< $2k,1,10009,Guanaceví,1082
1,< $2k,1,10010,Hidalgo,1053
1,< $2k,1,10012,Lerdo,4923
1,< $2k,1,10013,Mapimí,524
1,< $2k,1,10015,Nazas,1881
1,< $2k,1,10016,Nombre de Dios,3171
1,< $2k,1,10018,El Oro,740
1,< $2k,1,10020,Pánuco de Coronado,875
1,< $2k,1,10021,Peñón Blanco,678
1,< $2k,1,10022,Poanas,1534
1,< $2k,1,10023,Pueblo Nuevo,424
1,< $2k,1,10024,Rodeo,608
1,< $2k,1,10027,San Juan de Guadalupe,1471
1,< $2k,1,10028,San Juan del Río,1216
1,< $2k,1,10030,San Pedro del Gallo,1116
1,< $2k,1,10031,Santa Clara,704
1,< $2k,1,10032,Santiago Papasquiaro,1727
1,< $2k,1,10035,Tepehuanes,318
1,< $2k,1,10036,Tlahualilo,141
1,< $2k,1,10038,Vicente Guerrero,1478
1,< $2k,1,10039,Nuevo Ideal,137
1,< $2k,1,11001,Abasolo,2738
1,< $2k,1,11002,Acámbaro,4443
1,< $2k,1,11003,San Miguel de Allende,11880
1,< $2k,1,11004,Apaseo el Alto,2064
1,< $2k,1,11005,Apaseo el Grande,791
1,< $2k,1,11007,Celaya,10797
1,< $2k,1,11008,Manuel Doblado,1904
1,< $2k,1,11009,Comonfort,1669
1,< $2k,1,11014,Dolores Hidalgo Cuna de la Independencia Nacional,7524
1,< $2k,1,11015,Guanajuato,7015
1,< $2k,1,11016,Huanímaro,260
1,< $2k,1,11017,Irapuato,17062
1,< $2k,1,11018,Jaral del Progreso,1830
1,< $2k,1,11019,Jerécuaro,4042
1,< $2k,1,11020,León,37680
1,< $2k,1,11021,Moroleón,1198
1,< $2k,1,11023,Pénjamo,3296
1,< $2k,1,11025,Purísima del Rincón,2021
1,< $2k,1,11027,Salamanca,7528
1,< $2k,1,11028,Salvatierra,8242
1,< $2k,1,11030,San Felipe,1447
1,< $2k,1,11031,San Francisco del Rincón,5376
1,< $2k,1,11032,San José Iturbide,6368
1,< $2k,1,11033,San Luis de la Paz,5228
1,< $2k,1,11034,Santa Catarina,275
1,< $2k,1,11035,Santa Cruz de Juventino Rosas,361
1,< $2k,1,11037,Silao de la Victoria,2079
1,< $2k,1,11039,Tarimoro,196
